CityName,VehicleTypeId,Description,Year,Month,Count,Amount
Surat,2,MOTOR CYCLE                                  ,1997,12,217,28885.36
Surat,3,AUTO RICKSHAW,1997,12,94,12350
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1997,12,72,18925
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1997,12,9,3348
Surat,6,PUBLIC MOTOR CAR 7 TO 15 SEAT,1997,12,1,744
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,1997,12,1,684
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,12,270,75163
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,12,23,12935
Surat,14,TRAILER 4 TO 8 TON,1997,12,6,2520
Surat,21,TEMPO,1997,12,77,4674
Surat,1,MOPED/SCOOTER                                ,1998,1,309,39575.3
Surat,2,MOTOR CYCLE                                  ,1998,1,125,16012
Surat,3,AUTO RICKSHAW,1998,1,19,3078
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,1,30,6701
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1998,1,1,366
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,1,63,14956
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,1,3,780
Surat,11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,1998,1,1,132
Surat,14,TRAILER 4 TO 8 TON,1998,1,1,978
Surat,21,TEMPO,1998,1,17,1801
Surat,1,MOPED/SCOOTER                                ,1998,2,140,15983
Surat,2,MOTOR CYCLE                                  ,1998,2,38,4099
Surat,3,AUTO RICKSHAW,1998,2,10,702
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,2,35,8185
Surat,6,PUBLIC MOTOR CAR 7 TO 15 SEAT,1998,2,1,792
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,2,24,5746
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,2,6,1722
Surat,21,TEMPO,1998,2,10,1356
Surat,1,MOPED/SCOOTER                                ,1998,3,236,24389
Surat,2,MOTOR CYCLE                                  ,1998,3,178,15993
Surat,3,AUTO RICKSHAW,1998,3,13,2406
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,3,117,16782
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1998,3,2,456
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,3,18,4410
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,3,15,4020
Surat,21,TEMPO,1998,3,32,1811
Surat,1,MOPED/SCOOTER                                ,1998,4,174,10962
Surat,2,MOTOR CYCLE                                  ,1998,4,80,7275
Surat,3,AUTO RICKSHAW,1998,4,5,324
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,4,84,13812
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1998,4,1,72
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,4,5,2868
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,4,1,180
Surat,21,TEMPO,1998,4,10,878
Surat,1,MOPED/SCOOTER                                ,1998,5,74,6496
Surat,2,MOTOR CYCLE                                  ,1998,5,38,3896
Surat,3,AUTO RICKSHAW,1998,5,6,436
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,5,24,3716
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1998,5,2,468
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,5,4,888
Surat,21,TEMPO,1998,5,2,215
Surat,1,MOPED/SCOOTER                                ,1998,6,84,8248
Surat,2,MOTOR CYCLE                                  ,1998,6,31,2424
Surat,3,AUTO RICKSHAW,1998,6,3,126
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,6,21,3134
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,6,3,804
Surat,14,TRAILER 4 TO 8 TON,1998,6,1,144
Surat,21,TEMPO,1998,6,6,942
Surat,1,MOPED/SCOOTER                                ,1998,7,167,21987
Surat,2,MOTOR CYCLE                                  ,1998,7,79,11862
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,7,19,2874
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,7,4,648
Surat,21,TEMPO,1998,7,5,654
Surat,1,MOPED/SCOOTER                                ,1998,8,135,17927
Surat,2,MOTOR CYCLE                                  ,1998,8,96,13169
Surat,3,AUTO RICKSHAW,1998,8,4,240
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,8,338,66934
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1998,8,2,408
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,8,2,912
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,8,1,180
Surat,21,TEMPO,1998,8,2,216
Surat,1,MOPED/SCOOTER                                ,1998,9,97,10838
Surat,2,MOTOR CYCLE                                  ,1998,9,44,5097
Surat,3,AUTO RICKSHAW,1998,9,4,798
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,9,177,37815
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,9,2,144
Surat,21,TEMPO,1998,9,3,180
Surat,1,MOPED/SCOOTER                                ,1998,10,110,13763
Surat,2,MOTOR CYCLE                                  ,1998,10,63,8193
Surat,3,AUTO RICKSHAW,1998,10,2,216
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,10,273,48883
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,10,1,72
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,10,1,690
Surat,21,TEMPO,1998,10,5,626
Surat,1,MOPED/SCOOTER                                ,1998,11,141,15237
Surat,2,MOTOR CYCLE                                  ,1998,11,65,7918
Surat,3,AUTO RICKSHAW,1998,11,46,8558
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,11,138,23653
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,11,21,6240
Surat,21,TEMPO,1998,11,38,8969
Surat,1,MOPED/SCOOTER                                ,1998,12,150,16208
Surat,2,MOTOR CYCLE                                  ,1998,12,87,13248
Surat,3,AUTO RICKSHAW,1998,12,516,82623
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1998,12,208,51859
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1998,12,1,684
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1998,12,1,1080
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1998,12,234,77232
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1998,12,19,15756
Surat,12,TRAILER UPTO 2 TON,1998,12,1,150
Surat,21,TEMPO,1998,12,118,30306
Surat,1,MOPED/SCOOTER                                ,1999,1,208,22353.36
Surat,2,MOTOR CYCLE                                  ,1999,1,104,13064
Surat,3,AUTO RICKSHAW,1999,1,160,25412
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,1,107,23894
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,1,3,1830
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1999,1,1,360
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,1,166,39765
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,1,10,5495
Surat,21,TEMPO,1999,1,44,5618
Surat,1,MOPED/SCOOTER                                ,1999,2,567,63491
Surat,2,MOTOR CYCLE                                  ,1999,2,219,28608
Surat,3,AUTO RICKSHAW,1999,2,306,50526
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,2,226,45986
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,2,3,1116
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1999,2,4,2220
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,1999,2,1,408
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,2,291,81617
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,2,23,9104
Surat,21,TEMPO,1999,2,95,17941
Surat,1,MOPED/SCOOTER                                ,1999,3,563,71079
Surat,2,MOTOR CYCLE                                  ,1999,3,246,25699
Surat,3,AUTO RICKSHAW,1999,3,16,2445
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,3,129,22963
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,3,2,72
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,1999,3,2,280
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,3,16,5389
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,3,3,1440
Surat,21,TEMPO,1999,3,10,1938
Surat,1,MOPED/SCOOTER                                ,1999,4,461,53114
Surat,2,MOTOR CYCLE                                  ,1999,4,181,23069
Surat,3,AUTO RICKSHAW,1999,4,11,758
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,4,107,15310
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,4,12,3696
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,4,1,NA
Surat,21,TEMPO,1999,4,8,576
Surat,1,MOPED/SCOOTER                                ,1999,5,288,33830
Surat,2,MOTOR CYCLE                                  ,1999,5,104,11796
Surat,3,AUTO RICKSHAW,1999,5,13,1542
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,5,115,15484
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,5,6,648
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,5,4,2205
Surat,21,TEMPO,1999,5,6,870
Surat,1,MOPED/SCOOTER                                ,1999,6,175,23243
Surat,2,MOTOR CYCLE                                  ,1999,6,75,8757
Surat,3,AUTO RICKSHAW,1999,6,9,1450
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,6,80,9865
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,6,1,144
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1999,6,2,216
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,6,11,2367
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,6,3,900
Surat,21,TEMPO,1999,6,8,757
Surat,1,MOPED/SCOOTER                                ,1999,7,114,13662
Surat,2,MOTOR CYCLE                                  ,1999,7,47,4779
Surat,3,AUTO RICKSHAW,1999,7,4,332
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,7,48,8239
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,7,9,5042
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,7,3,3240
Surat,21,TEMPO,1999,7,1,36
Surat,1,MOPED/SCOOTER                                ,1999,8,85,8848
Surat,2,MOTOR CYCLE                                  ,1999,8,30,3052
Surat,3,AUTO RICKSHAW,1999,8,3,182
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,8,43,7297
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,8,2,480
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,8,3,324
Surat,21,TEMPO,1999,8,2,108
Surat,1,MOPED/SCOOTER                                ,1999,9,75,7626
Surat,2,MOTOR CYCLE                                  ,1999,9,21,2446
Surat,3,AUTO RICKSHAW,1999,9,11,432
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,9,23,3254
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,9,2,216
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,9,1,72
Surat,21,TEMPO,1999,9,14,804
Surat,1,MOPED/SCOOTER                                ,1999,10,62,7041
Surat,2,MOTOR CYCLE                                  ,1999,10,26,2067
Surat,3,AUTO RICKSHAW,1999,10,2,72
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,10,21,3653
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,1999,10,1,360
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,10,3,714
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,10,1,180
Surat,21,TEMPO,1999,10,2,180
Surat,1,MOPED/SCOOTER                                ,1999,11,29,3369
Surat,2,MOTOR CYCLE                                  ,1999,11,18,1824
Surat,3,AUTO RICKSHAW,1999,11,3,288
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,11,16,3786
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1999,11,1,438
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,11,3,360
Surat,21,TEMPO,1999,11,1,72
Surat,1,MOPED/SCOOTER                                ,1999,12,192,21244
Surat,2,MOTOR CYCLE                                  ,1999,12,79,8126
Surat,3,AUTO RICKSHAW,1999,12,321,46576
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,1999,12,72,12178
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,1999,12,2,624
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1999,12,527,145250
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1999,12,23,9452
Surat,14,TRAILER 4 TO 8 TON,1999,12,1,100
Surat,21,TEMPO,1999,12,205,30979
Surat,1,MOPED/SCOOTER                                ,2000,1,121,10751
Surat,2,MOTOR CYCLE                                  ,2000,1,64,4156
Surat,3,AUTO RICKSHAW,2000,1,24,2927
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,1,41,5957
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,1,37,9538
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,1,4,720
Surat,21,TEMPO,2000,1,27,8320
Surat,1,MOPED/SCOOTER                                ,2000,2,76,6030
Surat,2,MOTOR CYCLE                                  ,2000,2,39,3562
Surat,3,AUTO RICKSHAW,2000,2,7,701
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,2,39,5778
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,2,11,4730
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,2,6,1080
Surat,21,TEMPO,2000,2,14,2432
Surat,1,MOPED/SCOOTER                                ,2000,3,190,19949
Surat,2,MOTOR CYCLE                                  ,2000,3,90,8353
Surat,3,AUTO RICKSHAW,2000,3,10,1170
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,3,61,7349
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,3,8,3268
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,3,2,1200
Surat,21,TEMPO,2000,3,8,746
Surat,1,MOPED/SCOOTER                                ,2000,4,278,23868
Surat,2,MOTOR CYCLE                                  ,2000,4,110,8769
Surat,3,AUTO RICKSHAW,2000,4,7,750
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,4,98,11887
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,4,16,2790
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,4,1,540
Surat,21,TEMPO,2000,4,13,798
Surat,1,MOPED/SCOOTER                                ,2000,5,169,17069
Surat,2,MOTOR CYCLE                                  ,2000,5,78,8950
Surat,3,AUTO RICKSHAW,2000,5,9,1083
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,5,84,13618
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,5,1,144
Surat,6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2000,5,1,576
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2000,5,1,36
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,5,12,2587
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,5,6,2952
Surat,21,TEMPO,2000,5,8,1008
Surat,1,MOPED/SCOOTER                                ,2000,6,169,19130
Surat,2,MOTOR CYCLE                                  ,2000,6,71,8275
Surat,3,AUTO RICKSHAW,2000,6,18,3132
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,6,52,10722
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,6,1,72
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,6,10,3242
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,6,1,180
Surat,21,TEMPO,2000,6,9,636
Surat,1,MOPED/SCOOTER                                ,2000,7,209,25325
Surat,2,MOTOR CYCLE                                  ,2000,7,87,13183.36
Surat,3,AUTO RICKSHAW,2000,7,205,25747
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,7,290,70211
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,7,2,246
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2000,7,1,75
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,7,372,114368
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,7,20,12886
Surat,11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2000,7,1,288
Surat,21,TEMPO,2000,7,225,29006
Surat,1,MOPED/SCOOTER                                ,2000,8,80,9076
Surat,2,MOTOR CYCLE                                  ,2000,8,29,3340
Surat,3,AUTO RICKSHAW,2000,8,14,2981
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,8,73,18063
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,8,43,11639
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,8,2,462
Surat,11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2000,8,1,132
Surat,14,TRAILER 4 TO 8 TON,2000,8,2,1704
Surat,21,TEMPO,2000,8,36,9272
Surat,1,MOPED/SCOOTER                                ,2000,9,41,3850
Surat,2,MOTOR CYCLE                                  ,2000,9,31,7667
Surat,3,AUTO RICKSHAW,2000,9,169,24840
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,9,49,16416
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,9,1,144
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2000,9,1,200
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2000,9,3,408
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,9,456,127578
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,9,21,12246
Surat,11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2000,9,2,2360
Surat,14,TRAILER 4 TO 8 TON,2000,9,2,1030
Surat,21,TEMPO,2000,9,166,23946
Surat,1,MOPED/SCOOTER                                ,2000,10,32,3044
Surat,2,MOTOR CYCLE                                  ,2000,10,18,1511
Surat,3,AUTO RICKSHAW,2000,10,61,10383
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,10,17,6765
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2000,10,1,100
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,10,166,50503
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,10,8,5834
Surat,14,TRAILER 4 TO 8 TON,2000,10,2,1140
Surat,21,TEMPO,2000,10,95,10067
Surat,1,MOPED/SCOOTER                                ,2000,11,67,7608
Surat,2,MOTOR CYCLE                                  ,2000,11,43,6513
Surat,3,AUTO RICKSHAW,2000,11,98,16223
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,11,29,5260
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,11,1,720
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2000,11,1,180
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,11,277,84798
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,11,29,29460
Surat,14,TRAILER 4 TO 8 TON,2000,11,2,666
Surat,21,TEMPO,2000,11,84,10811
Surat,1,MOPED/SCOOTER                                ,2000,12,45,4878
Surat,2,MOTOR CYCLE                                  ,2000,12,23,5593
Surat,3,AUTO RICKSHAW,2000,12,45,6669
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2000,12,14,1964
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2000,12,1,132
Surat,7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2000,12,1,180
Surat,8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2000,12,1,200
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2000,12,169,48473
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2000,12,3,1710
Surat,21,TEMPO,2000,12,50,5956
Surat,1,MOPED/SCOOTER                                ,2001,1,28,2801
Surat,2,MOTOR CYCLE                                  ,2001,1,13,1249
Surat,3,AUTO RICKSHAW,2001,1,34,4709
Surat,4,PRIVATE MOTOR CAR/JEEP CAR,2001,1,20,2636
Surat,5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2001,1,1,384
Surat,9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2001,1,49,11784
Surat,10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2001,1,1,700
Surat,21,TEMPO,2001,1,36,3574
